model,layer,domain,condition,participation_ratio,num_concepts,feature_dim,concept_subset
Qwen/Qwen3.5-9B,17,sensory,T_prompt_para_1,70.07798309789449,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,18,sensory,T_prompt_para_1,67.36780858432118,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,19,sensory,T_prompt_para_1,65.16449594929291,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,20,sensory,T_prompt_para_1,87.01863233530264,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,21,sensory,T_prompt_para_1,96.48652302786945,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,22,sensory,T_prompt_para_1,113.0892259330601,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,23,sensory,T_prompt_para_1,124.15422767546609,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,24,sensory,T_prompt_para_1,151.6658753075926,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,25,sensory,T_prompt_para_1,153.25412817820464,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,26,sensory,T_prompt_para_1,159.23768051368947,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,27,sensory,T_prompt_para_1,173.58817442578285,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,28,sensory,T_prompt_para_1,176.83217018637285,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,29,sensory,T_prompt_para_1,167.81803336022284,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,30,sensory,T_prompt_para_1,163.02097154228073,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,31,sensory,T_prompt_para_1,146.0392142745428,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,32,sensory,T_prompt_para_1,92.49783555157617,1854,4096,data/concepts/things_max_1854_concepts.csv
