anchor_name,condition,layer,summary_type,rsa_score,value
controlled_THINGS,T_prompt_primary,21,trajectory,0.16405994934810847,
SigLIP2,T_prompt_primary,21,trajectory,0.12358796037227711,
lancaster_perceptual,T_prompt_primary,21,trajectory,0.10216198108038799,
THINGS behavioral similarity,T_prompt_primary,22,trajectory,0.15288850659611178,
controlled_THINGS,T_prompt_primary,22,trajectory,0.14675423514399677,
SigLIP2,T_prompt_primary,22,trajectory,0.12607983603857945,
lancaster_perceptual,T_prompt_primary,22,trajectory,0.05971595702923749,
THINGS behavioral similarity,T_prompt_primary,23,trajectory,0.11924092445391711,
controlled_THINGS,T_prompt_primary,23,trajectory,0.11520808339381075,
SigLIP2,T_prompt_primary,23,trajectory,0.10131355778291105,
lancaster_perceptual,T_prompt_primary,23,trajectory,0.019390913894445135,
THINGS behavioral similarity,T_prompt_primary,24,trajectory,0.1423139167733792,
controlled_THINGS,T_prompt_primary,24,trajectory,0.13738837773330703,
SigLIP2,T_prompt_primary,24,trajectory,0.10921293683553797,
lancaster_perceptual,T_prompt_primary,24,trajectory,0.026492482301586264,
THINGS behavioral similarity,T_prompt_primary,25,trajectory,0.1450594799756643,
controlled_THINGS,T_prompt_primary,25,trajectory,0.13947124607663955,
SigLIP2,T_prompt_primary,25,trajectory,0.11376827866857916,
lancaster_perceptual,T_prompt_primary,25,trajectory,0.03688155580565574,
THINGS behavioral similarity,T_prompt_primary,26,trajectory,0.14773540699854484,
controlled_THINGS,T_prompt_primary,26,trajectory,0.14305769632720555,
SigLIP2,T_prompt_primary,26,trajectory,0.11187364950151749,
lancaster_perceptual,T_prompt_primary,26,trajectory,0.05283062866770899,
THINGS behavioral similarity,T_prompt_primary,27,trajectory,0.17449739444305182,
controlled_THINGS,T_prompt_primary,27,trajectory,0.16947493079192358,
SigLIP2,T_prompt_primary,27,trajectory,0.12360692761995146,
lancaster_perceptual,T_prompt_primary,27,trajectory,0.14658056731936156,
THINGS behavioral similarity,T_prompt_primary,28,trajectory,0.17205919574225323,
controlled_THINGS,T_prompt_primary,28,trajectory,0.16553141341604957,
SigLIP2,T_prompt_primary,28,trajectory,0.12322929403480423,
lancaster_perceptual,T_prompt_primary,28,trajectory,0.11317524173713439,
THINGS behavioral similarity,T_prompt_primary,29,trajectory,0.17536644398545667,
controlled_THINGS,T_prompt_primary,29,trajectory,0.1688907121610391,
SigLIP2,T_prompt_primary,29,trajectory,0.13085286045428726,
lancaster_perceptual,T_prompt_primary,29,trajectory,0.12913478959156044,
THINGS behavioral similarity,T_prompt_primary,30,trajectory,0.19547669375357327,
controlled_THINGS,T_prompt_primary,30,trajectory,0.1870123041160424,
SigLIP2,T_prompt_primary,30,trajectory,0.14166841961582388,
lancaster_perceptual,T_prompt_primary,30,trajectory,0.15495816337221943,
THINGS behavioral similarity,T_prompt_primary,31,trajectory,0.21444827204942413,
controlled_THINGS,T_prompt_primary,31,trajectory,0.20401397490332354,
SigLIP2,T_prompt_primary,31,trajectory,0.15003429699840234,
lancaster_perceptual,T_prompt_primary,31,trajectory,0.1895671841659584,
THINGS behavioral similarity,T_prompt_primary,32,trajectory,0.22042843554199015,
controlled_THINGS,T_prompt_primary,32,trajectory,0.20664869834219726,
SigLIP2,T_prompt_primary,32,trajectory,0.15307469929447115,
lancaster_perceptual,T_prompt_primary,32,trajectory,0.1816415002099394,
THINGS behavioral similarity,M_text_only,0,trajectory,0.09241568404035716,
controlled_THINGS,M_text_only,0,trajectory,0.08831683933466064,
SigLIP2,M_text_only,0,trajectory,0.07302365242467256,
lancaster_perceptual,M_text_only,0,trajectory,0.060878380859286416,
THINGS behavioral similarity,M_text_only,1,trajectory,0.04696222917793678,
controlled_THINGS,M_text_only,1,trajectory,0.04729894736944165,
SigLIP2,M_text_only,1,trajectory,0.041487258886181023,
lancaster_perceptual,M_text_only,1,trajectory,0.03726627011609091,
THINGS behavioral similarity,M_text_only,2,trajectory,0.04785220254036732,
controlled_THINGS,M_text_only,2,trajectory,0.04940201343896907,
SigLIP2,M_text_only,2,trajectory,0.04202339776497186,
lancaster_perceptual,M_text_only,2,trajectory,0.05155022345752784,
THINGS behavioral similarity,M_text_only,3,trajectory,0.045088265139398905,
controlled_THINGS,M_text_only,3,trajectory,0.045243933722271146,
SigLIP2,M_text_only,3,trajectory,0.04402003098837568,
lancaster_perceptual,M_text_only,3,trajectory,0.049021039104684326,
THINGS behavioral similarity,M_text_only,4,trajectory,0.04920836811825297,
controlled_THINGS,M_text_only,4,trajectory,0.05179187852879304,
SigLIP2,M_text_only,4,trajectory,0.03875778967624372,
lancaster_perceptual,M_text_only,4,trajectory,0.03565387841343188,
THINGS behavioral similarity,M_text_only,5,trajectory,0.0689688269153776,
controlled_THINGS,M_text_only,5,trajectory,0.06934047090758613,
SigLIP2,M_text_only,5,trajectory,0.01661032760697223,
lancaster_perceptual,M_text_only,5,trajectory,0.03523815386524474,
THINGS behavioral similarity,M_text_only,6,trajectory,0.10438545275503434,
controlled_THINGS,M_text_only,6,trajectory,0.10243986787014056,
SigLIP2,M_text_only,6,trajectory,0.03996758825462553,
lancaster_perceptual,M_text_only,6,trajectory,0.06839561091449667,
THINGS behavioral similarity,M_text_only,7,trajectory,0.11155420491414174,
controlled_THINGS,M_text_only,7,trajectory,0.10470052368215368,
SigLIP2,M_text_only,7,trajectory,0.04579949108973037,
lancaster_perceptual,M_text_only,7,trajectory,0.07000689793068698,
THINGS behavioral similarity,M_text_only,8,trajectory,0.12060886993802725,
controlled_THINGS,M_text_only,8,trajectory,0.11223250776725893,
SigLIP2,M_text_only,8,trajectory,0.039436316018494594,
lancaster_perceptual,M_text_only,8,trajectory,0.0663635084793256,
THINGS behavioral similarity,M_text_only,9,trajectory,0.1228530394133663,
controlled_THINGS,M_text_only,9,trajectory,0.11426322386379657,
SigLIP2,M_text_only,9,trajectory,0.03711474977657003,
lancaster_perceptual,M_text_only,9,trajectory,0.037068747809657236,
THINGS behavioral similarity,M_text_only,10,trajectory,0.1479070005699795,
controlled_THINGS,M_text_only,10,trajectory,0.1386892855933644,
SigLIP2,M_text_only,10,trajectory,0.06062741816678372,
lancaster_perceptual,M_text_only,10,trajectory,0.06868870804633861,
THINGS behavioral similarity,M_text_only,11,trajectory,0.1961037868152444,
controlled_THINGS,M_text_only,11,trajectory,0.18506253690781946,
SigLIP2,M_text_only,11,trajectory,0.10300176802323883,
lancaster_perceptual,M_text_only,11,trajectory,0.13463167639734247,
THINGS behavioral similarity,M_text_only,12,trajectory,0.2088391026317477,
controlled_THINGS,M_text_only,12,trajectory,0.19775749316158023,
SigLIP2,M_text_only,12,trajectory,0.11065684458988936,
lancaster_perceptual,M_text_only,12,trajectory,0.16419619219172907,
THINGS behavioral similarity,M_text_only,13,trajectory,0.21364386168998725,
controlled_THINGS,M_text_only,13,trajectory,0.20262444499105703,
SigLIP2,M_text_only,13,trajectory,0.122590208548091,
lancaster_perceptual,M_text_only,13,trajectory,0.18245195676512832,
THINGS behavioral similarity,M_text_only,14,trajectory,0.21940803986224452,
controlled_THINGS,M_text_only,14,trajectory,0.20864165936867687,
SigLIP2,M_text_only,14,trajectory,0.13732104976972714,
lancaster_perceptual,M_text_only,14,trajectory,0.1734623908986982,
THINGS behavioral similarity,M_text_only,15,trajectory,0.222479520762504,
controlled_THINGS,M_text_only,15,trajectory,0.21228447443629547,
SigLIP2,M_text_only,15,trajectory,0.14989290078907835,
lancaster_perceptual,M_text_only,15,trajectory,0.171882999981759,
THINGS behavioral similarity,M_text_only,16,trajectory,0.21053615622155333,
controlled_THINGS,M_text_only,16,trajectory,0.20099605455770503,
SigLIP2,M_text_only,16,trajectory,0.14979335859652512,
lancaster_perceptual,M_text_only,16,trajectory,0.14321101940554973,
THINGS behavioral similarity,M_text_only,17,trajectory,0.20957325270208085,
controlled_THINGS,M_text_only,17,trajectory,0.19984808985928243,
SigLIP2,M_text_only,17,trajectory,0.15045145614879987,
lancaster_perceptual,M_text_only,17,trajectory,0.14392212013815314,
THINGS behavioral similarity,M_text_only,18,trajectory,0.208928174691112,
controlled_THINGS,M_text_only,18,trajectory,0.19990578101069834,
SigLIP2,M_text_only,18,trajectory,0.14894215410599024,
lancaster_perceptual,M_text_only,18,trajectory,0.14811331758309051,
THINGS behavioral similarity,M_text_only,19,trajectory,0.20046932496496378,
controlled_THINGS,M_text_only,19,trajectory,0.19171003531870492,
SigLIP2,M_text_only,19,trajectory,0.14259533427298726,
lancaster_perceptual,M_text_only,19,trajectory,0.15124043971798873,
THINGS behavioral similarity,M_text_only,20,trajectory,0.18077724915763463,
controlled_THINGS,M_text_only,20,trajectory,0.17315154370453315,
SigLIP2,M_text_only,20,trajectory,0.13683918180928026,
lancaster_perceptual,M_text_only,20,trajectory,0.12642136643475538,
THINGS behavioral similarity,M_text_only,21,trajectory,0.1751299987745123,
controlled_THINGS,M_text_only,21,trajectory,0.16891698476730824,
SigLIP2,M_text_only,21,trajectory,0.13175057209130348,
lancaster_perceptual,M_text_only,21,trajectory,0.12181388981532483,
THINGS behavioral similarity,M_text_only,22,trajectory,0.16715573742107948,
controlled_THINGS,M_text_only,22,trajectory,0.1602014881576555,
SigLIP2,M_text_only,22,trajectory,0.12847533825223545,
lancaster_perceptual,M_text_only,22,trajectory,0.11250560069117929,
THINGS behavioral similarity,M_text_only,23,trajectory,0.1562197888498755,
controlled_THINGS,M_text_only,23,trajectory,0.15145293528709697,
SigLIP2,M_text_only,23,trajectory,0.11766147652757977,
lancaster_perceptual,M_text_only,23,trajectory,0.09418072495380796,
THINGS behavioral similarity,M_text_only,24,trajectory,0.16423919264823608,
controlled_THINGS,M_text_only,24,trajectory,0.15918737495168186,
SigLIP2,M_text_only,24,trajectory,0.1293945937585331,
lancaster_perceptual,M_text_only,24,trajectory,0.10331551773585014,
THINGS behavioral similarity,M_text_only,25,trajectory,0.15253959115355953,
controlled_THINGS,M_text_only,25,trajectory,0.15037046497792433,
SigLIP2,M_text_only,25,trajectory,0.1225202838420584,
lancaster_perceptual,M_text_only,25,trajectory,0.09511598577398153,
THINGS behavioral similarity,M_text_only,26,trajectory,0.15022912629232466,
controlled_THINGS,M_text_only,26,trajectory,0.14806206878778902,
SigLIP2,M_text_only,26,trajectory,0.11974259986615125,
lancaster_perceptual,M_text_only,26,trajectory,0.08931417665896312,
THINGS behavioral similarity,M_text_only,27,trajectory,0.14282553097149342,
controlled_THINGS,M_text_only,27,trajectory,0.14224832233842635,
SigLIP2,M_text_only,27,trajectory,0.1207222122351022,
lancaster_perceptual,M_text_only,27,trajectory,0.07979383599496687,
THINGS behavioral similarity,M_text_only,28,trajectory,0.1395861716538436,
controlled_THINGS,M_text_only,28,trajectory,0.1389047866448878,
SigLIP2,M_text_only,28,trajectory,0.11323884856290975,
lancaster_perceptual,M_text_only,28,trajectory,0.07552864483538867,
THINGS behavioral similarity,M_text_only,29,trajectory,0.1327382895341173,
controlled_THINGS,M_text_only,29,trajectory,0.13284158642646418,
SigLIP2,M_text_only,29,trajectory,0.10673826582792317,
lancaster_perceptual,M_text_only,29,trajectory,0.0710143079216415,
THINGS behavioral similarity,M_text_only,30,trajectory,0.14214425240171114,
controlled_THINGS,M_text_only,30,trajectory,0.14164733603078958,
SigLIP2,M_text_only,30,trajectory,0.10447468526296792,
lancaster_perceptual,M_text_only,30,trajectory,0.10271604125980498,
THINGS behavioral similarity,M_text_only,31,trajectory,0.14976455932835153,
controlled_THINGS,M_text_only,31,trajectory,0.14747046792820778,
SigLIP2,M_text_only,31,trajectory,0.1038515986187773,
lancaster_perceptual,M_text_only,31,trajectory,0.12515262037965924,
THINGS behavioral similarity,M_text_only,32,trajectory,0.15043881070997794,
controlled_THINGS,M_text_only,32,trajectory,0.14748263618495863,
SigLIP2,M_text_only,32,trajectory,0.10493530185464715,
lancaster_perceptual,M_text_only,32,trajectory,0.14177382125691038,
THINGS behavioral similarity,M_text_only,33,trajectory,0.13943058484745371,
controlled_THINGS,M_text_only,33,trajectory,0.1361867851065703,
SigLIP2,M_text_only,33,trajectory,0.0956444940336715,
lancaster_perceptual,M_text_only,33,trajectory,0.1389661255800742,
